Assemblage_Name	1613298-1-3	3866316-8414082-8374781	5857700-1-5094690	1-6680052-2	2-1-5117689	1-6760579-2	1-3-9282495	5857700-502996-3	577776-1-3	8462731-3-2	5857700-1502262-3	2-1-3	5857700-2028553-128410	171276-8414082-7975816	1-1-9643939	7748833-4-4	2-1-9314448	7216708-1-7975816	9028056-7469102-4567792	5857700-1-3	7567365-1-3	3866316-1-7975816	1-4-588492	3866316-8414082-7975816	4553632-7469102-2	3866316-8414082-7766893	4798911-2028553-128410	1-1570985-4	7211393-8414082-8672426	3866316-8414082-8672426	8929119-0-2	1-3-2	5857700-1-8768088	1-6824755-2	5952504-3-2	6679100-1-3	1-4-4	3866316-4674747-7975816	1-1-7975816	5857700-1-128410	2-1-1168794	2-1-7819610	5857700-1-7156729	9028056-3-2	1-2050665-9643939	3866316-8543375-7975816	3866316-5459538-7975816	5857700-7600171-3	3-0-2	9954363-0-6630532	1-4832600-2	5857700-1-6960395	5857700-8176341-3	9028056-7469102-2	26907-8414082-7975816
assemblage-185-751	0	0	99	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	181	0	0	0	7	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	25
assemblage-521-556	0	0	0	0	0	0	0	0	0	11	0	15	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	9	0	0	0	0	74	20
assemblage-963-121	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	256	0	0	0	0	5	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	147	18
assemblage-410-356	0	0	0	28	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	367	16	0	0	0	0	28
assemblage-848-779	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	268	0	0	0	0	4	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	143	13
assemblage-771-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	74	0	0	0	12	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	17
assemblage-507-530	0	0	0	0	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	13	0	0	0	0	73	25
assemblage-576-679	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	136	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	17
assemblage-968-226	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	51	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10
assemblage-867-834	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	8	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	33
