Assemblage_Name	3-7810573-0	1-1-0	2-2-3	3-9531340-3625667	3-9084376-0	3-3-0	3-3-3	3-3-3625667	4096907-4-4	3-3-1296770	3-1888019-3625667	3788775-3-3625667	3-3-2342531	3788775-4902816-3625667	3788775-1153711-3625667	3-6050581-3625667	3-3-6728259	2-4-300594	3-4228692-0	3-3-6223138	3-3274752-309094	2451618-3-0	3-6315639-3625667	7050812-3-0	8045419-4-2553709	3-3-4559521	3-3-7129088	3-443506-0	2-4-4	2-0-2	3208926-4-2553709	3-6336749-3625667	2-7339799-4	3-3-866702	5295387-7339799-4	3-3-5230840	1-4-4	2-4-6728956	2-4-2553709	4914601-3-0	3-3-6644849	3-3-5370535	3-4801773-0	3-2903230-3625667	3-3-2597035	3-3274752-3625667	9855154-3-0	3-467807-0
assemblage-893-862	0	0	0	0	0	411	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-619-223	0	0	0	0	0	247	0	23	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	3	186	0	0	0	0	0	0	0	0	9
assemblage-480-533	0	0	0	0	0	355	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	5
assemblage-85-91	0	0	0	65	0	63	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	9	0	4
assemblage-631-783	0	0	0	32	0	169	0	219	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	26
assemblage-609-772	0	0	0	35	0	174	0	218	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	17
assemblage-497-501	0	71	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10
assemblage-970-841	0	0	0	0	0	324	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	9	0	0	0	0	0	62	0	0	0	0	0	0	0	16	12
assemblage-606-145	0	0	0	10	3	302	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	23
assemblage-710-359	8	0	0	0	0	370	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-865-272	0	0	0	131	0	112	0	5	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	206	0	4
assemblage-123-800	0	0	0	0	0	38	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-998-674	0	0	0	31	0	173	0	235	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	14
assemblage-872-265	0	0	0	67	0	87	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	16	0	17
assemblage-607-161	0	0	0	35	0	169	0	109	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	56	66	0	8
assemblage-708-786	0	0	0	0	0	223	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	11
assemblage-963-913	10	0	0	0	0	381	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-599-936	0	0	0	44	0	153	0	112	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	53	67	0	7
assemblage-255-414	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	23	0	0	0	0	0	47	0	0	0	0	0	0	0	0	6
assemblage-567-920	0	0	0	154	0	110	0	8	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	201	0	6
