Assemblage_Name	1807666-1-1	6334506-1-2	2-1-1807070	2712676-4-1	8139570-4-1	0-8184127-3	114927-4-1	9331677-3-3	3-4-1397596	0-3-9928162	614292-4-4	2-1108444-1	4-4-9553351	0-3-3519711	0-36734-3	4-8085772-1	2-7153720-2	3-5172071-4	7139811-3-3	1-3-1	9996851-1-1	4-3730190-1	1129080-1-2	2-1-2	2-1-1	4-4-6142845	3-4-3	3-4-4	2-1-2673443	4-4-5636814	2-1-806249	2-1-5138464	4-1498874-1	0-3-1780733	4-4-1	4988330-4-1	2-8336232-2	0-6687833-3	4-4-6414502	0-3-3	1-3-2364009	4-4-8013218	2-4907191-2	9129848-4-1	1179199-4-1
assemblage-445-863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	110	0	0	160	0	0	2	0	0	0	200	0	0	0	0	27	0	0	0	0	0
assemblage-677-345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	134	0	0	139	0	0	0	0	0	1	0	0	0	0	0	218	0	0	0	0	0
assemblage-170-261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	8	0	0	308	0	0	0	0	0	0	84	0	0	0	0	78	0	0	0	0	0
assemblage-497-792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	101	0	0	0	0	215	0	0	0	0	0
assemblage-950-563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	23	0	0	32	0	0	0	118	0	0	0	0	109	0	0	0	0	0
assemblage-692-536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	1	0	0	0	78	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0
assemblage-685-521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	1	0	0	1	91	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0
assemblage-420-624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	88	0	0	13	0	0	0	107	0	0	0	0	64	0	0	0	0	0
assemblage-676-526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	2	0	0	2	46	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0
assemblage-508-767	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	99	0	0	0	0	0	0	204	0	0	0	0	36	0	0	0	0	0
assemblage-437-632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	13	0	1	0	0	0	0	231	0	0	0	0	199	0	0	0	0	0
assemblage-664-337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	125	0	0	214	0	0	0	0	0	0	14	0	0	0	0	131	0	0	0	0	0
assemblage-771-241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	307	0	0	0	0	100	0	0	0	0	0
assemblage-780-257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	382	0	0	0	0	13	0	0	0	0	0
assemblage-888-936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	147	0	0	158	0	0	10	0	0	0	98	0	0	0	0	86	0	0	0	0	0
assemblage-676-332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	122	0	1	111	0	0	0	0	0	1	0	0	0	0	0	226	0	0	0	0	0
assemblage-954-553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	200	0	0	38	0	0	28	0	0	0	140	0	0	0	0	92	0	0	0	0	0
assemblage-190-453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	335	0	0	0	0	46	0	0	0	0	0
assemblage-183-441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	1	0	0	0	0	0	0	122	0	0	0	0	149	0	0	0	0	0
assemblage-830-593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	46	0	0	65	0	0	0	0	0	0	125	0	0	0	0	256	0	0	0	0	0
assemblage-170-271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	10	0	0	315	0	0	0	0	0	0	54	0	0	0	0	82	0	0	0	0	0
assemblage-181-246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	6	0	0	343	0	0	0	0	0	0	44	0	0	0	0	70	0	0	0	0	0
assemblage-782-255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	1	0	0	0	0	0	0	118	0	0	0	0	167	0	0	0	0	0
assemblage-902-178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	236	0	0	0	0	0	0	111	0	0	0	0	43	0	0	0	0	0
assemblage-492-757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	10	0	0	59	0	0	0	89	0	0	0	0	178	0	0	0	0	0
assemblage-776-257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	175	0	0	0	0	0	0	0	0	0	295	0	0	0	0	29	0	0	0	0	0
assemblage-771-259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	342	0	0	0	0	95	0	0	0	0	0
