Assemblage_Name	4659051-1-0	3-1-833511	4-3-3945865	1-57634-0	3-1-3535201	4-4-4581553	247610-3-4	3-1-8260917	6756706-3-3	3-1-4576732	3-1-7892692	4-2507219-4	835808-1-0	3-3998278-0	1-3-0	3-6602204-0	3-1760806-0	3-7721926-0	3-9968241-0	6760281-1-0	3-4438954-0	3-1-722121	2799024-4-4	3-454021-0	252330-3-3	8584465-3-0	3-1-433829	3-1-238726	3-5709359-0	3-4978066-0	3-3315117-0	4299761-1-0	8308015-3-4	2754152-1-0	4-3-9384931	3-1-9302254	3-1-8918606	2-3-3	3-1-3188878	4-4-4	3-1-415714	3-2310724-0	4-3431416-4	4-4-2	3-6647088-0	3839421-1-0	3-1-4556187	4-920034-4	4-6791695-4	3-1-0	9325011-3-3	2-3-4392817	3-1-6426044	3-1-3043051	3-1-5366558	2-3-1520798	4-3-4	3-7862321-0	4-3-4889045	1-9180018-0	3-5596552-0	3-1-2860886	6767051-1-0	2970207-1-0	5764890-1-0	9669354-1-0	3-1606219-0	4-6298703-4	3-1-8493259	3-3369490-0	2-3-2935070	7123520-1-0	3-25021-0	4-1265330-4	2879765-1-0	957331-1-0	3-1-6405364	3-3961941-0	1192519-3-3	3-8511158-0	2-3-8865285	8618196-3-4
assemblage-38-27	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1550	0	1	0	0	0	0	0	0	0	0	0	42218	0	0	0	0	0	0	41139	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-15-49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	0	203	0	0	0	0	0	0	0	0	0	16472	0	0	0	0	0	0	11139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-43-49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9573	0	0	0	0	0	0	0	0	0	0	0	13002	0	0	0	0	0	0	5599	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	95	0	0	0
assemblage-71-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3884	0	2	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-39-44	0	0	0	0	0	0	0	0	0	0	1	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	130	0	0	0	0	0	0	0	0	0	26793	0	0	0	0	0	0	1272	0	0	0	0	0	1675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-33-69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5399	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-54-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	28163	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-70-50	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	43092	0	0	0	0	0	0	13509	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
assemblage-42-61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1119	0	145	0	0	0	11	0	0	0	0	0	2182	0	0	0	0	0	0	1872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-25-74	0	0	4	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	717	0	0	0	0	0	0	0	0	0	0	0	4554	0	0	0	0	0	0	22736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-63-62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5345	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	406	0	0	0	0	0	8	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-24-5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12384	0	0	0	651	0	0	0	0	0	7645	0	0	0	0	0	0	29	0	0	5	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-3-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-29-52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27947	0	0	0	0	2	0	329	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1793	0	0	0	0	0	0	0	0	0	0	0	17775	0	0	0	0	0	0	10510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
assemblage-73-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	115	0	0	0	0	0	0	0	0	0	0	0	26238	0	0	0	0	0	0	1772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-10-51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	0	0	0	0	0	0	20463	0	0	0	0	0	0	35454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-36-54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	19209	0	0	0	0	0	0	9878	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-16-44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11622	0	0	0	0	0	0	0	0	0	0	0	21587	0	0	0	0	0	0	2586	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-15-32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5412	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
